ky_nang,nganh,truong,mo_ta
vẽ,Kiến trúc,ĐH Kiến trúc TP.HCM,"Phù hợp với người giỏi vẽ, sáng tạo, và đam mê thiết kế không gian."
toán,Kỹ thuật cơ khí,ĐH Bách Khoa TP.HCM,"Dành cho người giỏi toán, tư duy logic, và thích chế tạo máy móc."
logic,Công nghệ thông tin,ĐH Bách Khoa TP.HCM,"Phù hợp với tư duy lập trình, giải quyết vấn đề kỹ thuật."
sáng tạo,Thiết kế đồ họa,ĐH Mỹ thuật TP.HCM,"Cho người đam mê sáng tạo, thiết kế hình ảnh và giao diện."
chơi game,Công nghệ thông tin,ĐH FPT,"Phù hợp với người thích lập trình game, phát triển phần mềm giải trí."
ai,Trí tuệ nhân tạo và Học máy,ĐH Công nghệ (ĐH Quốc gia Hà Nội),"Dành cho người yêu thích công nghệ AI, phân tích dữ liệu."
năng lượng,Năng lượng tái tạo,ĐH Bách Khoa Hà Nội,"Phù hợp với người quan tâm đến môi trường, năng lượng xanh."
sinh học,Công nghệ sinh học,ĐH Khoa học Tự nhiên (ĐH Quốc gia TP.HCM),"Cho người đam mê y học, nông nghiệp tiên tiến."
kinh tế số,Kinh tế số và Thương mại điện tử,ĐH Kinh tế Quốc dân,"Dành cho người thích kinh doanh online, công nghệ số."
an ninh mạng,An ninh mạng,ĐH Công nghệ Thông tin (ĐH Quốc gia TP.HCM),"Phù hợp với người muốn bảo vệ dữ liệu trong thời đại số."
diễn xuất,Diễn xuất,ĐH Sân khấu Điện ảnh TP.HCM,"Phù hợp với người đam mê biểu diễn, giải trí."
ux,Thiết kế trải nghiệm người dùng (UX Design),ĐH RMIT Việt Nam,"Dành cho người thích thiết kế giao diện, tối ưu trải nghiệm."
vũ trụ,Khoa học dữ liệu vũ trụ,ĐH Khoa học và Công nghệ Hà Nội (USTH),"Cho người tò mò về không gian, dữ liệu vệ tinh."
thực phẩm,Công nghệ thực phẩm bền vững,ĐH Nông Lâm TP.HCM,"Phù hợp với người quan tâm thực phẩm xanh, tương lai."
tâm lý game,Tâm lý học trò chơi,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia TP.HCM),"Dành cho người muốn hiểu hành vi người chơi game."
âm nhạc,Âm nhạc học,Nhạc viện TP.HCM,"Phù hợp với người đam mê âm nhạc, sáng tác."
thời trang,Thiết kế thời trang,ĐH Công nghiệp Dệt may Hà Nội,"Dành cho người yêu thích thời trang, sáng tạo."
robot,Kỹ thuật robot,ĐH Sư phạm Kỹ thuật TP.HCM,"Cho người đam mê công nghệ robot, tự động hóa."
nông nghiệp,Nông nghiệp,ĐH Nông nghiệp Hà Nội,"Nghiên cứu quản lý nông thôn, y học động vật, cây trồng biến đổi gen, an ninh lương thực."
khoa học,Khoa học tự nhiên,ĐH Khoa học Tự nhiên (ĐH Quốc gia Hà Nội),"Phát triển tư duy khoa học, kỹ năng tính toán, giải quyết vấn đề."
quy hoạch đô thị,Quy hoạch đô thị,ĐH Kiến trúc Hà Nội,"Thiết kế không gian sống, kết hợp khoa học, nhân văn, nghệ thuật."
kinh doanh,Quản trị kinh doanh,ĐH Kinh tế TP.HCM,"Phát triển kỹ năng tài chính, kế toán, marketing, quản lý nhân sự."
it,Công nghệ thông tin,ĐH Công nghệ Thông tin (ĐH Quốc gia TP.HCM),"Thiết kế, sản xuất và sử dụng hệ thống thông tin, kỹ thuật phần mềm."
nghệ thuật,Nghệ thuật sáng tạo,ĐH Mỹ thuật Công nghiệp,"Sáng tạo nghệ thuật thị giác, từ hội họa đến đồ họa máy tính."
giáo dục,Giáo dục,ĐH Sư phạm Hà Nội,"Nghiên cứu cách con người học tập, thực hành tại trường học."
kỹ thuật,Kỹ thuật,ĐH Bách Khoa TP.HCM,"Ứng dụng toán học và khoa học để thiết kế, phát triển cơ sở hạ tầng."
y học,Y học,ĐH Y Dược TP.HCM,"Chẩn đoán, điều trị và đánh giá nhu cầu sức khỏe, thực hành y học và phẫu thuật."
nhân văn,Nhân văn,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia Hà Nội),"Tư duy phản biện, đạo đức, nghiên cứu lịch sử, văn học, nghệ thuật."
